id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
1471,22,42996,RENT,7.0,DEBTCONSOLIDATION,B,14000,12.18,0.33,N,4,1
1472,26,60000,RENT,0.0,DEBTCONSOLIDATION,C,12000,13.49,0.2,N,3,0
1473,35,23000,RENT,0.0,PERSONAL,B,5800,10.99,0.26,N,7,0
1474,23,90000,MORTGAGE,5.0,EDUCATION,A,10000,7.88,0.11,N,3,0
1475,29,54996,RENT,8.0,MEDICAL,B,5000,10.37,0.09,N,8,0
1476,22,200000,MORTGAGE,6.0,VENTURE,B,6000,11.48,0.03,N,2,0
1477,29,120000,RENT,3.0,DEBTCONSOLIDATION,A,10000,6.03,0.08,N,9,0
1478,22,52000,RENT,6.0,MEDICAL,C,6000,14.22,0.12,N,3,0
1479,24,48000,RENT,8.0,MEDICAL,B,5000,11.99,0.1,N,3,0
1480,24,72000,OWN,8.0,EDUCATION,B,18000,10.99,0.25,N,2,0
1481,25,50000,MORTGAGE,5.0,PERSONAL,A,5000,7.14,0.1,N,2,0
1482,42,140000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,8000,10.59,0.06,N,15,0
1483,29,53000,RENT,3.0,VENTURE,C,8000,13.47,0.15,Y,5,0
1484,26,35000,RENT,0.0,DEBTCONSOLIDATION,B,10000,11.11,0.29,N,4,0
1485,22,29000,RENT,5.0,VENTURE,C,6000,15.27,0.21,Y,2,1
1486,27,45000,RENT,6.0,MEDICAL,A,3000,9.63,0.07,N,9,0
1487,23,120000,RENT,5.0,PERSONAL,A,6000,7.49,0.05,N,2,0
1488,32,62400,RENT,9.0,VENTURE,B,20000,10.99,0.32,N,5,1
1489,29,65000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,7500,6.03,0.12,N,10,0
1490,22,35350,RENT,3.0,EDUCATION,B,7000,9.99,0.2,N,4,0
1491,24,49152,MORTGAGE,8.0,MEDICAL,A,3000,7.29,0.06,N,2,0
1492,28,60000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,9000,11.49,0.15,N,7,0
1493,39,54504,RENT,0.0,DEBTCONSOLIDATION,F,19200,20.89,0.4,N,14,1
1494,22,77250,OWN,3.0,VENTURE,B,3000,11.71,0.04,N,3,0
1495,28,38000,OWN,0.0,HOMEIMPROVEMENT,B,8000,10.99,0.21,N,10,0
1496,22,42000,RENT,4.0,MEDICAL,A,7000,8.59,0.17,N,4,0
1497,36,42000,RENT,2.0,MEDICAL,B,3000,9.63,0.07,N,12,0
1498,22,36000,RENT,2.0,MEDICAL,D,5000,14.96,0.14,Y,4,1
1499,31,32000,RENT,2.0,MEDICAL,C,10000,14.27,0.31,N,9,1
1500,29,60000,RENT,0.0,DEBTCONSOLIDATION,B,3200,11.49,0.05,N,10,0
1501,24,60000,RENT,8.0,VENTURE,A,6000,7.88,0.1,N,3,0
1502,29,70000,MORTGAGE,3.0,VENTURE,A,7000,7.88,0.1,N,8,0
1503,41,76254,RENT,5.0,EDUCATION,A,14000,6.17,0.19,N,15,0
1504,24,54996,OWN,5.0,PERSONAL,A,5000,7.14,0.09,N,3,0
1505,25,50000,RENT,1.0,HOMEIMPROVEMENT,C,5275,14.27,0.11,N,2,0
1506,27,56000,RENT,6.0,MEDICAL,B,15000,11.58,0.27,N,5,0
1507,54,60000,RENT,5.0,EDUCATION,C,9000,13.49,0.15,Y,26,0
1508,22,40000,RENT,4.0,DEBTCONSOLIDATION,A,5000,7.9,0.13,N,3,0
1509,27,45000,RENT,0.0,DEBTCONSOLIDATION,A,4000,7.14,0.09,N,10,0
1510,21,29360,MORTGAGE,5.0,EDUCATION,B,7775,12.69,0.28,N,2,0
1511,38,80000,RENT,20.0,VENTURE,D,16000,15.65,0.2,N,14,1
1512,24,30000,RENT,0.0,MEDICAL,B,12000,10.2,0.4,N,4,1
1513,33,84000,RENT,7.0,DEBTCONSOLIDATION,B,10000,11.99,0.12,N,6,0
1514,28,60000,MORTGAGE,12.0,HOMEIMPROVEMENT,C,7000,12.73,0.12,Y,9,0
1515,23,60000,MORTGAGE,2.0,MEDICAL,A,10000,9.63,0.17,N,4,0
1516,25,36662,RENT,3.0,EDUCATION,B,18000,11.36,0.49,N,4,1
1517,29,82000,RENT,2.0,EDUCATION,C,6600,13.48,0.08,Y,5,0
1518,29,49000,RENT,0.0,MEDICAL,D,10000,16.89,0.2,Y,8,1
1519,22,30000,RENT,2.0,MEDICAL,B,5000,12.42,0.17,N,2,0
1520,22,65000,MORTGAGE,5.0,VENTURE,D,10000,15.7,0.15,Y,3,0
1521,30,70000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,3000,11.49,0.04,N,9,0
1522,30,97000,MORTGAGE,14.0,PERSONAL,A,4000,7.14,0.04,N,6,0
1523,27,60000,RENT,0.0,HOMEIMPROVEMENT,C,5000,12.84,0.08,Y,10,0
1524,30,63500,RENT,6.0,DEBTCONSOLIDATION,C,12000,13.49,0.19,N,8,0
1525,23,26400,OWN,3.0,MEDICAL,A,3600,7.49,0.13,N,3,0
1526,26,60400,MORTGAGE,6.0,EDUCATION,E,24000,16.35,0.4,N,4,0
1527,28,58000,MORTGAGE,9.0,VENTURE,A,20000,7.74,0.34,N,6,0
1528,23,65000,MORTGAGE,5.0,EDUCATION,A,10000,7.9,0.15,N,3,0
1529,28,125000,MORTGAGE,8.0,VENTURE,B,10000,11.49,0.08,N,7,0
1530,26,28800,RENT,6.0,MEDICAL,B,13000,10.99,0.45,N,2,1
1531,39,50000,MORTGAGE,5.0,PERSONAL,A,8000,7.88,0.16,N,15,0
1532,22,31000,RENT,0.0,DEBTCONSOLIDATION,B,3200,9.99,0.1,N,4,0
1533,40,57600,RENT,1.0,PERSONAL,C,10000,13.61,0.17,N,11,0
1534,25,150000,MORTGAGE,6.0,PERSONAL,B,9000,10.38,0.06,N,4,0
1535,28,52800,RENT,12.0,DEBTCONSOLIDATION,A,6000,6.03,0.11,N,5,0
1536,26,35000,RENT,4.0,DEBTCONSOLIDATION,B,3500,10.0,0.1,N,4,0
1537,26,69000,RENT,2.0,EDUCATION,D,6000,17.49,0.09,Y,2,1
1538,24,47000,MORTGAGE,8.0,PERSONAL,A,5000,7.49,0.11,N,2,0
1539,28,45000,RENT,3.0,MEDICAL,B,10000,10.37,0.22,N,8,0
1540,25,50000,RENT,1.0,EDUCATION,C,6400,13.79,0.13,Y,2,0
1541,41,60000,RENT,23.0,VENTURE,A,10000,7.51,0.17,N,15,0
1542,24,33600,RENT,2.0,PERSONAL,B,1700,11.12,0.05,N,3,0
1543,28,95000,RENT,0.0,HOMEIMPROVEMENT,C,18000,14.27,0.19,N,5,0
1544,26,108000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,8000,13.67,0.07,Y,3,1
1545,43,120000,MORTGAGE,21.0,MEDICAL,B,10000,11.71,0.08,N,14,0
1546,26,50000,MORTGAGE,6.0,EDUCATION,B,6000,11.99,0.12,N,3,0
1547,26,102552,RENT,4.0,EDUCATION,B,5600,9.99,0.05,N,2,0
1548,36,115000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,22000,6.54,0.19,N,11,0
1549,22,60000,MORTGAGE,5.0,EDUCATION,B,6000,11.89,0.1,N,4,0
1550,25,90000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,10000,12.21,0.11,N,4,0
1551,34,30000,RENT,2.0,PERSONAL,C,8875,13.72,0.31,N,10,1
1552,23,75000,MORTGAGE,3.0,VENTURE,B,7200,12.42,0.1,N,4,0
1553,31,48000,MORTGAGE,13.0,EDUCATION,C,10000,15.96,0.02,N,5,0
1554,26,75400,MORTGAGE,10.0,MEDICAL,A,7000,7.14,0.08,N,4,1
1555,37,157544,MORTGAGE,8.0,VENTURE,B,35000,11.49,0.22,N,13,0
1556,28,30000,RENT,4.0,PERSONAL,A,8000,8.0,0.27,N,8,0
1557,23,95000,MORTGAGE,4.0,VENTURE,B,25000,10.99,0.26,N,4,0
1558,32,55000,RENT,1.0,DEBTCONSOLIDATION,C,8000,13.49,0.15,Y,8,0
1559,25,54500,RENT,6.0,DEBTCONSOLIDATION,C,3500,14.27,0.06,Y,3,0
1560,23,42000,RENT,4.0,EDUCATION,A,6000,7.66,0.14,N,4,0
1561,22,58800,RENT,2.0,VENTURE,C,3000,12.41,0.05,Y,3,0
1562,31,90000,MORTGAGE,9.0,MEDICAL,B,7000,9.96,0.08,N,8,0
1563,22,49000,RENT,7.0,MEDICAL,C,5000,14.27,0.1,Y,3,0
1564,30,60000,MORTGAGE,1.0,EDUCATION,C,12000,13.61,0.2,Y,8,0
1565,22,45400,RENT,4.0,PERSONAL,C,6400,12.99,0.14,N,2,0
1566,24,69000,RENT,7.0,PERSONAL,D,8000,17.49,0.12,N,2,1
1567,33,48000,RENT,17.0,VENTURE,C,7000,12.91,0.15,Y,7,0
1568,25,54000,RENT,1.0,MEDICAL,C,4000,14.35,0.07,N,4,0
1569,23,62500,MORTGAGE,7.0,EDUCATION,A,9600,5.79,0.15,N,3,0
1570,27,40000,RENT,4.0,PERSONAL,B,3250,10.99,0.08,N,7,0
1571,24,96000,MORTGAGE,8.0,MEDICAL,A,6000,7.14,0.06,N,3,0
1572,24,42000,RENT,0.0,DEBTCONSOLIDATION,D,6000,14.09,0.14,N,4,1
1573,23,55000,MORTGAGE,7.0,PERSONAL,A,5000,9.32,0.09,N,4,0
1574,24,60000,RENT,6.0,MEDICAL,A,5000,8.9,0.08,N,3,0
1575,29,70000,RENT,4.0,HOMEIMPROVEMENT,A,4000,7.74,0.06,N,9,0
1576,28,32004,RENT,0.0,VENTURE,C,9600,13.49,0.31,Y,5,1
1577,25,70000,MORTGAGE,9.0,PERSONAL,A,6000,6.91,0.09,N,2,0
1578,23,60000,RENT,5.0,MEDICAL,B,1375,11.11,0.02,N,3,1
1579,31,57000,RENT,9.0,MEDICAL,A,3000,8.9,0.05,N,6,0
1580,26,80000,OWN,5.0,PERSONAL,C,5600,13.61,0.07,Y,4,0
1581,22,67500,RENT,6.0,EDUCATION,A,7200,7.49,0.11,N,2,0
1582,25,100000,RENT,0.0,MEDICAL,C,10000,12.87,0.1,N,2,0
1583,22,55000,RENT,6.0,MEDICAL,B,8000,12.42,0.15,N,4,0
1584,26,42000,RENT,3.0,VENTURE,A,4500,7.66,0.11,N,4,0
1585,24,47000,MORTGAGE,5.0,PERSONAL,A,7500,7.51,0.16,N,2,0
1586,26,44000,RENT,2.0,EDUCATION,B,5400,10.37,0.12,N,3,1
1587,25,60000,RENT,3.0,DEBTCONSOLIDATION,A,8000,7.88,0.13,N,4,0
1588,33,60000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,20000,6.17,0.33,N,8,0
1589,22,84500,RENT,2.0,DEBTCONSOLIDATION,A,11000,8.94,0.13,N,3,0
1590,28,87000,MORTGAGE,7.0,PERSONAL,D,12000,16.29,0.14,N,8,0
1591,29,30000,OWN,13.0,MEDICAL,B,12250,8.88,0.42,N,10,0
1592,25,180000,MORTGAGE,9.0,MEDICAL,B,8000,12.42,0.04,N,2,0
1593,26,55000,RENT,0.0,DEBTCONSOLIDATION,A,7000,7.9,0.13,N,2,0
1594,23,48000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3000,5.79,0.06,N,4,0
1595,26,25000,OWN,10.0,HOMEIMPROVEMENT,D,8000,16.29,0.32,Y,4,0
1596,25,42000,OWN,2.0,VENTURE,A,12000,7.51,0.29,N,4,0
1597,27,25000,RENT,3.0,MEDICAL,C,6000,13.43,0.24,N,10,0
1598,22,70000,MORTGAGE,6.0,EDUCATION,A,12000,8.9,0.17,N,2,0
1599,38,60000,MORTGAGE,8.0,PERSONAL,B,3000,11.48,0.05,N,15,0
1600,22,51298,RENT,6.0,EDUCATION,E,1000,17.19,0.02,Y,3,1
1601,25,75000,RENT,2.0,PERSONAL,C,4800,13.48,0.07,Y,2,0
1602,23,46000,RENT,5.0,VENTURE,C,6000,15.27,0.13,N,4,0
1603,21,70000,RENT,1.0,DEBTCONSOLIDATION,A,9800,7.29,0.14,N,3,0
1604,26,45000,RENT,5.0,MEDICAL,A,10000,6.54,0.22,N,2,0
1605,22,27600,OWN,1.0,EDUCATION,A,6000,7.74,0.22,N,3,0
1606,31,39000,RENT,1.0,HOMEIMPROVEMENT,D,5000,16.49,0.13,Y,8,1
1607,27,75000,RENT,1.0,PERSONAL,B,4000,10.38,0.05,N,10,0
1608,25,68000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,7500,5.99,0.12,N,3,0
1609,27,50000,RENT,1.0,EDUCATION,C,12000,13.16,0.24,Y,10,0
1610,26,110000,MORTGAGE,3.0,VENTURE,A,20000,6.91,0.18,N,4,0
1611,21,33996,RENT,5.0,MEDICAL,D,15000,14.96,0.44,N,2,1
1612,26,144000,MORTGAGE,10.0,EDUCATION,C,20000,14.17,0.14,N,3,0
1613,26,68000,MORTGAGE,7.0,EDUCATION,C,4900,13.49,0.07,Y,3,0
1614,26,59000,RENT,3.0,PERSONAL,B,20000,11.36,0.34,N,3,1
1615,28,96900,MORTGAGE,1.0,EDUCATION,A,4800,7.49,0.05,N,9,1
1616,21,80000,RENT,3.0,EDUCATION,B,12000,10.65,0.15,N,2,0
1617,23,30000,RENT,3.0,VENTURE,B,5000,11.71,0.17,N,3,1
1618,22,48000,MORTGAGE,6.0,MEDICAL,C,5000,13.48,0.1,Y,3,0
1619,23,28000,RENT,1.0,VENTURE,C,5000,14.65,0.18,N,3,0
1620,28,69996,RENT,10.0,MEDICAL,A,13200,8.49,0.19,N,10,0
1621,32,30960,RENT,2.0,EDUCATION,B,5000,11.49,0.16,N,5,0
1622,38,30000,RENT,5.0,MEDICAL,A,6000,7.49,0.2,N,12,1
1623,28,70356,MORTGAGE,12.0,VENTURE,A,6000,5.42,0.09,N,7,0
1624,24,75000,RENT,0.0,PERSONAL,B,30000,11.71,0.4,N,2,1
1625,23,45000,RENT,1.0,MEDICAL,C,9600,13.98,0.21,N,4,0
1626,23,50004,MORTGAGE,7.0,EDUCATION,A,12000,5.42,0.24,N,4,0
1627,22,62000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,10000,14.65,0.16,N,2,0
1628,27,80000,RENT,4.0,VENTURE,A,12000,7.49,0.15,N,6,0
1629,60,30000,OWN,5.0,PERSONAL,A,5000,5.79,0.17,N,23,0
1630,33,36000,RENT,0.0,PERSONAL,B,8000,11.36,0.22,N,7,0
1631,23,70000,RENT,0.0,EDUCATION,C,10000,12.68,0.14,Y,2,0
1632,30,150000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,25000,12.73,0.17,Y,8,0
1633,24,51600,RENT,1.0,HOMEIMPROVEMENT,C,12000,12.23,0.23,Y,2,0
1634,28,49000,RENT,3.0,MEDICAL,D,15000,15.58,0.3,Y,8,1
1635,28,48000,MORTGAGE,0.0,MEDICAL,A,5000,8.59,0.1,N,7,0
1636,24,103241,RENT,8.0,HOMEIMPROVEMENT,B,10000,10.99,0.1,N,2,0
1637,24,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,9000,11.26,0.13,N,4,0
1638,27,65000,MORTGAGE,5.0,PERSONAL,C,15000,13.49,0.23,N,9,0
1639,23,45336,MORTGAGE,7.0,VENTURE,A,11250,7.51,0.25,N,3,0
1640,23,150000,RENT,3.0,EDUCATION,B,18000,10.99,0.12,N,3,0
1641,34,80000,MORTGAGE,2.0,PERSONAL,E,16000,17.88,0.2,N,10,0
1642,35,42000,RENT,2.0,VENTURE,C,2000,13.22,0.05,Y,9,0
1643,30,70000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,4200,5.79,0.06,N,5,0
1644,27,41900,OWN,2.0,VENTURE,D,10000,15.21,0.23,Y,6,0
1645,23,52000,MORTGAGE,2.0,VENTURE,A,8000,7.88,0.15,N,4,0
1646,22,52000,MORTGAGE,6.0,MEDICAL,C,5000,13.23,0.1,Y,4,0
1647,23,70000,MORTGAGE,4.0,EDUCATION,A,9500,6.92,0.14,N,4,0
1648,27,45600,RENT,3.0,VENTURE,A,20000,8.49,0.44,N,9,1
1649,23,39000,OWN,1.0,VENTURE,E,1000,17.14,0.03,Y,3,1
1650,32,66504,RENT,11.0,PERSONAL,B,3500,11.99,0.05,N,8,0
1651,22,46000,RENT,2.0,EDUCATION,B,9600,9.99,0.21,N,3,0
1652,23,90000,MORTGAGE,5.0,EDUCATION,B,3000,10.99,0.03,N,3,0
1653,28,80000,RENT,1.0,MEDICAL,C,3000,14.27,0.04,Y,6,0
1654,39,40800,MORTGAGE,16.0,VENTURE,A,10000,7.51,0.25,N,16,0
1655,23,110000,MORTGAGE,7.0,VENTURE,A,10000,7.14,0.09,N,4,0
1656,28,75000,MORTGAGE,5.0,PERSONAL,A,12000,6.92,0.16,N,9,0
1657,28,90000,MORTGAGE,12.0,EDUCATION,A,10000,7.14,0.11,N,6,0
1658,24,45000,MORTGAGE,8.0,VENTURE,A,2000,7.49,0.04,N,2,0
1659,33,30000,RENT,4.0,VENTURE,A,10000,9.32,0.33,N,10,1
1660,24,50000,RENT,8.0,DEBTCONSOLIDATION,A,5600,8.9,0.11,N,3,0
1661,29,70000,MORTGAGE,13.0,PERSONAL,A,4200,5.79,0.06,N,6,0
1662,36,45000,RENT,16.0,EDUCATION,A,2000,7.51,0.04,N,12,0
1663,24,80000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5500,8.49,0.07,N,2,0
1664,26,39000,RENT,3.0,PERSONAL,B,3000,10.99,0.08,N,3,0
1665,23,55000,RENT,3.0,MEDICAL,B,14000,11.71,0.25,N,4,0
1666,36,9600,RENT,0.0,PERSONAL,E,2100,16.45,0.22,N,16,1
1667,31,61800,MORTGAGE,5.0,EDUCATION,E,6000,16.4,0.1,N,5,0
1668,29,120000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,7000,7.14,0.06,N,8,0
1669,43,68000,RENT,4.0,EDUCATION,B,12000,10.74,0.18,N,17,0
1670,30,80000,MORTGAGE,6.0,PERSONAL,A,6000,8.9,0.07,N,8,0
1671,31,41718,OWN,3.0,VENTURE,A,5000,7.51,0.12,N,10,0
1672,25,52800,RENT,1.0,VENTURE,A,3000,7.9,0.06,N,4,0
1673,31,100000,MORTGAGE,0.0,MEDICAL,B,25000,12.18,0.25,N,7,0
1674,25,60000,MORTGAGE,7.0,MEDICAL,B,15000,11.12,0.25,N,2,0
1675,27,175000,MORTGAGE,3.0,PERSONAL,B,24000,9.76,0.14,N,8,0
1676,29,50205,RENT,13.0,HOMEIMPROVEMENT,A,6500,6.17,0.13,N,5,0
1677,33,47000,RENT,7.0,PERSONAL,B,8000,9.96,0.17,N,5,0
1678,21,27600,RENT,5.0,DEBTCONSOLIDATION,C,6000,15.27,0.22,Y,3,0
1679,34,102058,MORTGAGE,14.0,DEBTCONSOLIDATION,B,15000,11.11,0.15,N,7,0
1680,27,44000,MORTGAGE,8.0,EDUCATION,A,4000,7.9,0.09,N,7,0
1681,38,58000,MORTGAGE,10.0,EDUCATION,A,13000,8.49,0.23,N,15,0
1682,36,62400,MORTGAGE,1.0,VENTURE,B,13000,10.99,0.21,N,14,0
1683,24,25000,RENT,2.0,MEDICAL,B,2500,9.91,0.1,N,4,0
1684,22,40000,RENT,2.0,DEBTCONSOLIDATION,C,5000,13.22,0.13,Y,4,0
1685,29,40000,RENT,3.0,PERSONAL,A,10000,6.17,0.25,N,9,0
1686,21,42000,RENT,5.0,EDUCATION,C,12000,13.06,0.29,Y,4,0
1687,23,75000,MORTGAGE,2.0,VENTURE,A,7125,7.51,0.1,N,4,0
1688,29,65000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,15000,8.94,0.23,N,7,0
1689,31,82000,MORTGAGE,15.0,PERSONAL,A,5000,6.03,0.06,N,9,0
1690,25,65000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,8500,6.62,0.14,N,2,0
1691,28,80000,MORTGAGE,12.0,VENTURE,D,9800,15.33,0.12,Y,10,0
1692,33,73500,RENT,1.0,VENTURE,C,21600,14.26,0.3,N,7,0
1693,28,52000,MORTGAGE,5.0,EDUCATION,A,6000,7.88,0.12,N,7,0
1694,25,91000,MORTGAGE,9.0,MEDICAL,B,15000,9.99,0.16,N,4,0
1695,23,60000,RENT,7.0,DEBTCONSOLIDATION,B,5000,12.42,0.08,N,3,0
1696,25,50000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,4000,8.59,0.08,N,4,0
1697,35,66847,RENT,3.0,PERSONAL,C,10000,13.61,0.15,Y,6,0
1698,31,24000,RENT,6.0,EDUCATION,B,5000,11.83,0.21,N,5,0
1699,36,60000,RENT,0.0,MEDICAL,A,5600,6.92,0.09,N,12,0
1700,33,85000,MORTGAGE,1.0,VENTURE,E,7500,16.0,0.09,Y,7,0
1701,23,60000,RENT,2.0,MEDICAL,B,10000,11.14,0.17,N,2,0
1702,28,90000,RENT,0.0,PERSONAL,B,8500,12.21,0.09,N,9,0
1703,23,40000,RENT,1.0,EDUCATION,A,5500,7.88,0.14,N,4,0
1704,28,44196,MORTGAGE,6.0,VENTURE,B,7500,11.11,0.17,N,8,0
1705,23,86652,RENT,3.0,EDUCATION,D,20000,16.32,0.23,Y,2,0
1706,22,37200,RENT,6.0,HOMEIMPROVEMENT,E,2000,18.39,0.06,Y,4,1
1707,27,45150,RENT,1.0,VENTURE,B,18000,13.16,0.4,N,10,1
1708,29,94350,MORTGAGE,7.0,MEDICAL,D,15000,15.28,0.14,N,7,1
1709,23,52000,OWN,0.0,VENTURE,B,4000,10.62,0.08,N,3,0
1710,37,30000,RENT,3.0,EDUCATION,B,12000,10.39,0.4,N,14,1
1711,24,84996,RENT,4.0,VENTURE,A,10000,6.03,0.12,N,2,0
1712,24,71738,MORTGAGE,4.0,EDUCATION,B,11500,9.63,0.16,N,2,0
1713,25,45000,RENT,3.0,MEDICAL,A,2000,7.49,0.04,N,3,0
1714,32,85000,MORTGAGE,0.0,EDUCATION,B,10000,11.71,0.12,N,5,0
1715,26,120000,RENT,4.0,PERSONAL,B,10000,12.42,0.08,N,3,0
1716,25,39000,MORTGAGE,3.0,MEDICAL,D,3000,15.62,0.08,Y,2,1
1717,27,65000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10000,5.79,0.15,N,10,0
1718,23,55000,RENT,7.0,DEBTCONSOLIDATION,A,8000,7.49,0.15,N,2,0
1719,26,52000,MORTGAGE,10.0,PERSONAL,B,12000,10.99,0.23,N,2,0
1720,34,59760,RENT,14.0,HOMEIMPROVEMENT,D,6000,14.96,0.1,Y,7,1
1721,24,114132,MORTGAGE,5.0,EDUCATION,A,14400,5.79,0.13,N,2,0
1722,23,50000,MORTGAGE,5.0,MEDICAL,B,5000,11.12,0.1,N,4,0
1723,23,65000,MORTGAGE,5.0,EDUCATION,A,7000,7.49,0.11,N,2,0
1724,21,55200,MORTGAGE,3.0,DEBTCONSOLIDATION,B,9600,11.99,0.17,N,4,0
1725,23,82560,RENT,2.0,DEBTCONSOLIDATION,C,4500,15.96,0.05,Y,2,0
1726,27,36000,RENT,6.0,MEDICAL,B,5000,10.65,0.14,N,8,0
1727,31,48000,RENT,7.0,PERSONAL,A,3500,7.49,0.07,N,7,0
1728,31,60000,MORTGAGE,15.0,EDUCATION,A,10000,7.9,0.17,N,10,0
1729,26,32000,RENT,5.0,MEDICAL,A,3250,5.99,0.1,N,3,0
1730,41,40000,RENT,4.0,VENTURE,C,7000,13.49,0.17,N,14,0
1731,27,49200,MORTGAGE,5.0,HOMEIMPROVEMENT,A,4000,6.17,0.08,N,5,0
1732,34,69500,RENT,7.0,PERSONAL,B,15000,9.51,0.22,N,7,0
1733,65,115000,MORTGAGE,3.0,PERSONAL,A,8000,7.74,0.07,N,27,0
1734,28,27996,RENT,1.0,HOMEIMPROVEMENT,B,6700,9.63,0.24,N,8,1
1735,27,153000,RENT,3.0,DEBTCONSOLIDATION,D,25000,15.58,0.16,N,7,1
1736,26,30000,RENT,2.0,MEDICAL,C,6000,13.49,0.2,Y,4,0
1737,33,120000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,20000,6.54,0.17,N,7,0
1738,31,250000,MORTGAGE,1.0,PERSONAL,B,24000,11.83,0.09,N,8,0
1739,23,62500,MORTGAGE,8.0,EDUCATION,A,11000,7.88,0.18,N,2,0
1740,23,49600,RENT,7.0,VENTURE,C,8000,15.23,0.16,Y,2,0
1741,26,48000,MORTGAGE,2.0,EDUCATION,A,1200,9.32,0.03,N,4,0
1742,26,42996,RENT,7.0,EDUCATION,B,7200,11.14,0.17,N,2,0
1743,23,120000,RENT,2.0,DEBTCONSOLIDATION,B,5000,11.49,0.04,N,3,0
1744,26,54000,RENT,10.0,DEBTCONSOLIDATION,C,20000,13.49,0.37,N,3,1
1745,25,60000,MORTGAGE,8.0,PERSONAL,A,5000,8.49,0.08,N,3,0
1746,30,69996,MORTGAGE,14.0,PERSONAL,B,10000,11.11,0.14,N,7,0
1747,22,40000,MORTGAGE,3.0,EDUCATION,D,9600,14.54,0.24,N,4,0
1748,24,55000,MORTGAGE,4.0,PERSONAL,B,15000,12.18,0.27,N,4,0
1749,42,32000,RENT,1.0,PERSONAL,A,12000,7.66,0.38,N,12,1
1750,23,55000,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.99,0.11,N,2,0
1751,28,55704,MORTGAGE,12.0,EDUCATION,A,14000,7.51,0.25,N,7,0
1752,23,60000,RENT,7.0,PERSONAL,D,10200,16.29,0.17,Y,3,0
1753,26,140000,MORTGAGE,4.0,VENTURE,B,14400,10.83,0.1,N,4,0
1754,27,50000,RENT,2.0,HOMEIMPROVEMENT,A,4000,5.42,0.08,N,9,0
1755,29,42000,RENT,4.0,MEDICAL,C,5000,12.99,0.12,N,8,0
1756,30,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,6.62,0.2,N,8,0
1757,29,48000,RENT,2.0,VENTURE,C,15000,13.49,0.31,N,8,1
1758,27,62000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,10000,6.62,0.16,N,7,0
1759,24,90000,MORTGAGE,8.0,VENTURE,A,5000,6.99,0.06,N,3,0
1760,27,36000,RENT,3.0,MEDICAL,A,12600,8.94,0.36,N,8,1
1761,33,27000,RENT,0.0,PERSONAL,A,7000,8.0,0.26,N,6,0
1762,24,56000,RENT,5.0,DEBTCONSOLIDATION,A,10000,5.42,0.18,N,3,0
1763,23,42500,RENT,2.0,VENTURE,A,9000,9.63,0.21,N,3,0
1764,22,72600,MORTGAGE,0.0,MEDICAL,A,4500,7.74,0.06,N,3,0
1765,29,80000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,10000,7.51,0.13,N,5,0
1766,38,103000,RENT,5.0,DEBTCONSOLIDATION,D,25000,16.49,0.24,N,16,1
1767,27,34000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10000,6.03,0.29,N,5,0
1768,25,135000,MORTGAGE,4.0,VENTURE,D,24000,16.89,0.18,N,4,0
1769,29,30000,MORTGAGE,3.0,VENTURE,B,6000,11.83,0.2,N,5,0
1770,28,60000,MORTGAGE,0.0,EDUCATION,B,6000,9.88,0.1,N,6,0
1771,27,70000,MORTGAGE,3.0,MEDICAL,A,18000,7.51,0.27,N,8,0
1772,24,36000,RENT,0.0,VENTURE,B,6000,11.83,0.17,N,2,0
1773,24,42000,OWN,8.0,EDUCATION,A,3000,6.76,0.07,N,3,0
1774,27,40000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,5000,7.14,0.13,N,6,0
1775,23,95000,MORTGAGE,4.0,VENTURE,C,14000,13.16,0.15,N,2,0
1776,42,54000,RENT,0.0,DEBTCONSOLIDATION,D,16750,14.09,0.3,N,12,1
